aX,aY,aZ,gX,gY,gZ
-0.390,-0.384,0.942,-11.292,9.949,-20.630
-0.353,-0.393,0.904,-6.897,15.381,-17.700
-0.362,-0.393,0.870,-3.113,18.188,-14.587
-0.379,-0.363,0.844,0.793,19.775,-12.451
-0.380,-0.336,0.814,5.188,21.362,-11.780
-0.401,-0.314,0.811,6.592,20.081,-12.146
-0.453,-0.288,0.823,6.226,17.883,-12.756
-0.496,-0.273,0.815,4.944,18.188,-14.343
-0.528,-0.246,0.801,2.625,19.104,-17.151
-0.564,-0.228,0.804,-0.061,18.188,-20.386
-0.609,-0.206,0.789,-2.197,18.005,-22.949
-0.647,-0.158,0.783,-2.014,19.043,-24.475
-0.677,-0.102,0.790,0.427,20.325,-25.879
-0.715,-0.074,0.822,5.310,21.484,-29.175
-0.774,-0.068,0.876,11.292,22.522,-34.363
-0.808,-0.074,0.937,16.907,24.536,-40.649
-0.818,-0.083,0.989,20.203,28.198,-47.913
-0.839,-0.101,1.025,20.020,32.166,-55.542
-0.839,-0.120,1.021,16.602,35.828,-62.500
-0.821,-0.130,1.012,10.620,38.086,-70.068
-0.798,-0.162,0.999,4.944,39.063,-77.820
-0.772,-0.205,0.973,0.000,39.612,-84.839
-0.744,-0.238,0.933,-1.648,41.138,-90.210
-0.694,-0.274,0.883,-0.732,43.823,-93.811
-0.658,-0.308,0.845,0.305,44.250,-95.520
-0.634,-0.351,0.842,3.296,42.786,-96.130
-0.608,-0.399,0.843,11.597,45.959,-96.863
-0.556,-0.445,0.836,22.095,54.199,-96.924
-0.530,-0.464,0.833,29.175,61.890,-96.313
-0.485,-0.469,0.810,29.724,66.772,-96.252
-0.453,-0.491,0.784,24.353,68.176,-98.877

0.468,-1.070,0.533,20.691,67.200,-90.393
0.538,-1.040,0.500,24.109,68.665,-78.003
0.582,-0.989,0.507,28.137,65.613,-63.965
0.613,-0.907,0.541,30.884,59.753,-50.781
0.636,-0.848,0.588,32.410,53.650,-40.833
0.634,-0.837,0.636,31.982,46.997,-34.607
0.634,-0.851,0.693,30.151,40.161,-33.081
0.633,-0.884,0.760,26.367,33.875,-34.912
0.674,-0.933,0.777,19.531,29.541,-37.720
0.727,-0.987,0.774,8.301,25.818,-40.344
0.777,-1.037,0.755,-2.136,22.400,-40.161
0.810,-1.073,0.737,-7.751,18.921,-35.217
0.823,-1.092,0.711,-7.019,16.174,-26.001
0.814,-1.078,0.699,-2.991,14.526,-13.489
0.776,-1.053,0.691,1.282,11.658,-1.160
0.725,-1.039,0.694,2.991,8.667,8.972
0.676,-1.026,0.695,2.747,4.883,16.235
0.646,-1.004,0.694,1.526,0.732,21.851
0.645,-0.990,0.679,-1.709,-3.052,25.146
0.649,-0.990,0.673,-6.287,-9.399,26.428
0.643,-0.999,0.682,-11.780,-17.761,28.259
0.628,-1.001,0.698,-17.883,-24.231,31.494
0.617,-1.001,0.693,-23.682,-27.710,36.377
