aX,aY,aZ,gX,gY,gZ
0.594,0.768,0.562,12.024,0.000,1.282
0.571,0.757,0.510,15.930,-4.333,2.258
0.572,0.731,0.449,14.160,-3.845,2.319
0.555,0.723,0.426,6.348,-3.418,0.610
0.522,0.713,0.438,-2.502,-4.089,-4.333
0.512,0.692,0.452,-7.996,-1.404,-8.667
0.510,0.675,0.456,-8.789,2.258,-8.240
0.509,0.647,0.448,-6.714,3.723,-5.615
0.549,0.627,0.436,-3.601,5.493,-1.587
0.577,0.618,0.451,-1.892,5.249,0.549
0.569,0.617,0.474,-0.366,3.479,-0.488
0.551,0.620,0.478,3.113,2.991,-1.404
0.549,0.614,0.484,6.775,2.258,-1.038
0.575,0.601,0.514,8.667,-0.427,0.854
0.589,0.600,0.550,9.521,-4.944,2.930
0.582,0.611,0.563,10.315,-9.155,3.723
0.576,0.623,0.568,9.583,-10.864,5.371
0.579,0.632,0.573,7.019,-11.902,7.507
0.571,0.642,0.590,3.906,-14.038,9.033
0.560,0.667,0.608,2.197,-16.052,9.705
0.538,0.686,0.611,2.441,-15.564,8.545
0.531,0.697,0.601,2.808,-12.573,6.897
0.521,0.711,0.596,2.075,-11.108,5.371
0.516,0.709,0.604,0.244,-11.230,3.540
0.531,0.711,0.630,-0.793,-11.719,1.831
0.547,0.728,0.653,-0.061,-13.306,0.793
0.545,0.744,0.662,2.136,-15.137,-0.854
