aX,aY,aZ,gX,gY,gZ
-0.598,-1.577,0.191,32.288,168.091,-44.373
-0.550,-1.662,0.131,32.227,167.542,-41.321
-0.505,-1.722,0.076,32.166,168.823,-33.264
-0.417,-1.758,0.026,30.334,170.715,-21.545
-0.360,-1.760,-0.008,25.879,168.274,-11.108
-0.308,-1.733,-0.026,23.560,161.926,-2.625
-0.244,-1.721,-0.077,19.897,152.649,4.639
-0.182,-1.699,-0.138,9.155,140.930,10.315
-0.119,-1.631,-0.227,-4.028,130.249,14.221
-0.084,-1.573,-0.329,-18.921,120.544,15.930
-0.052,-1.517,-0.403,-31.067,110.779,14.709
-0.017,-1.495,-0.428,-35.950,102.478,12.024
-0.033,-1.475,-0.372,-36.072,96.924,9.827
0.016,-1.477,-0.338,-33.630,96.802,15.198
0.054,-1.462,-0.322,-36.194,100.891,25.391
0.088,-1.435,-0.314,-40.955,101.318,32.837
0.094,-1.406,-0.287,-47.363,96.558,35.400
0.115,-1.384,-0.268,-54.810,90.271,36.316
0.121,-1.343,-0.267,-62.256,84.167,38.452
0.129,-1.284,-0.267,-66.650,78.003,43.274
0.149,-1.216,-0.262,-67.505,72.327,49.805
0.167,-1.146,-0.256,-67.932,66.223,56.091
0.168,-1.069,-0.243,-68.970,58.411,61.707
0.178,-1.003,-0.221,-70.129,50.293,65.186
0.193,-0.963,-0.185,-71.228,41.626,67.078
0.201,-0.938,-0.154,-74.158,33.020,69.092
0.219,-0.910,-0.117,-77.148,25.269,71.777
0.240,-0.880,-0.080,-78.674,17.944,75.195
0.263,-0.833,-0.052,-79.956,11.597,79.285
0.275,-0.778,-0.030,-82.031,5.859,82.642
0.277,-0.729,-0.016,-83.801,-0.061,83.984
0.272,-0.687,-0.001,-84.351,-6.165,82.825
0.258,-0.652,0.028,-83.374,-12.878,80.688
0.245,-0.607,0.056,-81.238,-18.188,78.796
0.224,-0.558,0.064,-78.003,-20.996,76.904
0.215,-0.511,0.069,-74.707,-22.400,75.134
