aX,aY,aZ,gX,gY,gZ
-0.145,-0.347,-0.064,-112.793,96.069,-2.869
-0.111,-0.293,-0.146,-103.760,99.548,-8.301
-0.041,-0.273,-0.225,-97.900,103.088,-11.841
0.030,-0.259,-0.286,-94.788,104.431,-11.169
0.089,-0.224,-0.353,-91.553,103.760,-6.042
0.126,-0.170,-0.421,-89.905,100.952,2.258
0.153,-0.104,-0.476,-85.999,95.032,11.230
0.166,-0.046,-0.525,-81.177,87.219,19.836
0.184,0.012,-0.540,-75.195,78.430,26.367
0.192,0.062,-0.525,-68.481,68.054,31.128
0.193,0.101,-0.508,-63.660,59.753,34.241
0.193,0.151,-0.493,-58.960,55.115,35.156
0.173,0.206,-0.484,-53.467,48.950,35.095
0.157,0.261,-0.467,-48.279,39.978,33.081
0.145,0.306,-0.438,-44.434,29.175,28.015
0.114,0.364,-0.404,-41.016,16.846,20.081
0.106,0.430,-0.388,-36.560,4.761,9.644
0.110,0.478,-0.385,-30.579,-5.676,-1.831
0.141,0.512,-0.362,-21.179,-16.724,-10.315
0.158,0.550,-0.298,-8.789,-27.283,-13.245
0.127,0.582,-0.223,5.310,-33.325,-9.521
0.066,0.632,-0.178,21.729,-33.325,-2.625

-0.430,-1.419,1.095,190.002,-105.713,-67.078
-0.423,-1.693,1.365,172.668,-103.699,-67.078
-0.381,-1.895,1.560,160.339,-94.299,-56.274
-0.385,-2.104,1.725,153.198,-82.031,-41.809
-0.382,-2.301,1.867,142.456,-68.359,-27.527
-0.377,-2.420,1.981,134.888,-58.411,-19.531
-0.450,-2.527,2.020,136.902,-54.443,-25.391
-0.456,-2.639,2.055,126.587,-44.617,-30.640
-0.452,-2.777,2.066,104.919,-34.912,-31.372
-0.426,-2.846,2.054,80.139,-29.541,-29.541
-0.394,-2.879,2.030,54.810,-23.132,-19.836
-0.412,-2.883,1.985,29.358,-12.512,-4.272
-0.444,-2.855,1.955,6.592,-1.038,12.451
-0.465,-2.802,1.927,-10.925,8.423,24.780
-0.486,-2.719,1.880,-26.001,19.043,32.593
-0.497,-2.582,1.814,-42.236,30.884,38.452
-0.467,-2.418,1.722,-60.181,40.161,41.992
-0.437,-2.250,1.613,-79.041,45.166,44.495
-0.408,-2.047,1.497,-96.191,47.424,46.936
-0.399,-1.870,1.375,-112.000,50.293,47.668
-0.375,-1.713,1.246,-127.563,54.016,46.875
-0.342,-1.548,1.102,-139.771,57.007,43.640
-0.300,-1.388,0.984,-146.790,58.594,39.368
-0.268,-1.240,0.891,-147.766,57.495,36.072
-0.242,-1.101,0.812,-142.517,57.251,32.898
-0.210,-0.961,0.727,-133.728,60.303,30.823
-0.205,-0.833,0.635,-123.718,63.843,28.625
-0.175,-0.707,0.531,-114.075,66.772,23.132
-0.139,-0.599,0.427,-106.018,65.430,14.282
-0.129,-0.505,0.318,-100.769,58.838,4.211
-0.096,-0.437,0.234,-97.046,53.162,-5.249
-0.023,-0.399,0.195,-94.727,50.903,-11.292
0.016,-0.364,0.156,-93.445,50.903,-10.437
0.034,-0.306,0.104,-92.346,51.514,-3.906
0.031,-0.254,0.048,-90.881,52.002,3.540
0.040,-0.207,0.007,-88.867,52.673,10.864
0.031,-0.164,-0.026,-87.158,53.101,17.090
0.028,-0.122,-0.047,-86.487,53.162,20.996
0.028,-0.079,-0.080,-87.341,52.246,22.644
0.063,-0.057,-0.102,-90.637,51.025,22.644
0.088,-0.029,-0.102,-94.543,47.974,23.682
0.084,0.011,-0.106,-95.947,44.312,26.733
0.075,0.066,-0.124,-94.421,42.114,31.067
0.057,0.124,-0.141,-89.294,40.344,34.729
0.050,0.174,-0.143,-80.322,38.147,37.415
0.042,0.218,-0.131,-69.153,35.278,40.100
0.053,0.257,-0.123,-58.167,32.166,41.809
0.061,0.287,-0.114,-47.302,27.039,43.091
0.057,0.328,-0.111,-35.522,21.851,44.556
0.021,0.386,-0.108,-22.461,17.822,46.265
-0.009,0.458,-0.100,-8.484,13.672,45.837
-0.026,0.523,-0.079,3.662,8.057,41.260
-0.016,0.551,-0.057,14.038,0.977,32.593
0.006,0.539,-0.024,23.071,-8.118,23.621
0.024,0.503,0.014,30.640,-15.320,16.846
0.032,0.484,0.039,37.292,-19.348,13.245
0.001,0.470,0.040,43.945,-23.071,10.681
-0.052,0.453,0.039,50.476,-27.405,4.944
-0.088,0.425,0.049,57.190,-31.433,-6.226
-0.057,0.355,0.087,62.927,-34.607,-22.339
-0.003,0.235,0.128,66.406,-40.405,-36.743
0.015,0.101,0.168,72.266,-49.744,-44.434
0.006,-0.023,0.206,83.435,-59.204,-44.128
-0.023,-0.142,0.271,99.182,-64.880,-37.903
-0.062,-0.243,0.352,117.432,-65.491,-28.931
-0.133,-0.356,0.447,136.108,-61.890,-19.531
-0.200,-0.488,0.564,154.175,-55.481,-12.268
-0.234,-0.642,0.708,165.222,-48.767,-10.376
-0.213,-0.800,0.860,167.297,-45.654,-13.306
-0.184,-0.923,0.968,158.020,-43.091,-18.066
-0.164,-0.977,1.013,141.907,-41.748,-22.888
-0.154,-1.005,1.014,124.573,-42.053,-26.184
-0.165,-1.067,1.006,108.337,-40.955,-27.466
-0.165,-1.157,1.008,96.802,-38.696,-26.978
-0.153,-1.269,1.029,93.567,-34.790,-25.085
-0.137,-1.363,1.076,98.572,-26.672,-18.799
-0.093,-1.428,1.132,105.652,-15.747,-8.301
-0.123,-1.456,1.178,111.816,-8.484,-2.441
-0.179,-1.465,1.199,112.854,-7.874,-6.104
-0.172,-1.498,1.193,99.060,-7.202,-12.512
-0.169,-1.586,1.189,80.444,-8.667,-20.081
-0.196,-1.705,1.237,58.960,-12.085,-25.146
-0.190,-1.833,1.312,38.635,-16.479,-29.358
-0.181,-1.981,1.404,23.254,-19.897,-32.471
-0.173,-2.103,1.509,15.137,-18.494,-32.410
-0.148,-2.175,1.601,12.878,-12.207,-27.039
-0.151,-2.223,1.675,8.301,-4.211,-18.616
-0.160,-2.225,1.707,-0.610,1.648,-9.949
-0.150,-2.181,1.689,-12.939,7.629,-2.258
-0.126,-2.115,1.623,-26.611,14.038,4.700
-0.118,-2.032,1.531,-39.368,19.348,12.634
-0.116,-1.921,1.421,-49.133,23.560,20.813
